SprintIndex,SeasonID,RaceID,LapNumber,LapNumberFlow,Team,14_Laptime,35_Laptime,14_PaceDiff,35_PaceDiff,14_PaceDiffClear,35_PaceDiffClear,PaceMarker,PaceDiffTeammateDelta,PaceDiffTeammateBetter,PaceDiffClearTeammateDelta,PaceDiffClearTeammateBetter,PaceDiffTeammateMean,PaceDiffClearTeammateMean,PaceDiffTeammateBetterMode
2,2025,2025041,42.0,227,Mercedes,96.28,97.697,-1.268,0.149,-1.268,0.149,97.626,1.417,14,1.417,14,-0.5595,-0.5595,14
2,2025,2025041,43.0,228,Mercedes,96.665,97.616,-0.941,0.01,-0.941,0.01,97.652,0.951,14,0.951,14,-0.46549999999999997,-0.46549999999999997,14
2,2025,2025041,44.0,229,Mercedes,96.885,97.916,-0.61,0.421,-0.79,0.226,97.695,1.031,14,1.016,14,-0.0945,-0.28200000000000003,14
2,2025,2025041,45.0,230,Mercedes,96.746,97.827,-0.801,0.28,-0.801,0.28,97.571,1.081,14,1.081,14,-0.2605,-0.2605,14
2,2025,2025041,46.0,231,Mercedes,96.456,97.738,-0.988,0.294,-0.988,0.294,97.61,1.282,14,1.282,14,-0.347,-0.347,14
2,2025,2025041,47.0,232,Mercedes,96.708,97.687,-0.818,0.161,-0.818,0.161,97.526,0.979,14,0.979,14,-0.32849999999999996,-0.32849999999999996,14
2,2025,2025041,48.0,233,Mercedes,96.746,97.488,-0.876,-0.134,-0.876,-0.134,97.622,0.742,14,0.742,14,-0.505,-0.505,14
2,2025,2025041,49.0,234,Mercedes,97.315,97.615,-0.366,-0.066,-0.822,-0.066,97.842,0.3,14,0.756,14,-0.216,-0.44399999999999995,14
2,2025,2025041,50.0,235,Mercedes,96.973,97.74,-0.778,-0.011,-0.778,-0.011,97.808,0.767,14,0.767,14,-0.3945,-0.3945,14
2,2025,2025041,51.0,236,Mercedes,97.377,98.021,-0.528,0.116,-0.778,0.116,97.953,0.644,14,0.894,14,-0.20600000000000002,-0.331,14
2,2025,2025041,52.0,237,Mercedes,97.281,98.66,-0.658,0.721,-0.658,0.28,98.049,1.379,14,0.9380000000000001,14,0.03149999999999997,-0.189,14
2,2025,2025041,53.0,238,Mercedes,97.412,98.416,-0.689,0.315,-0.689,0.315,98.15,1.004,14,1.004,14,-0.18699999999999997,-0.18699999999999997,14
2,2025,2025041,54.0,239,Mercedes,97.369,98.712,-0.852,0.491,-0.852,0.491,98.264,1.343,14,1.343,14,-0.1805,-0.1805,14
2,2025,2025041,55.0,240,Mercedes,97.387,98.869,-0.879,0.603,-0.879,0.603,98.298,1.482,14,1.482,14,-0.138,-0.138,14
2,2025,2025041,56.0,241,Mercedes,97.844,99.065,-0.534,0.687,-0.534,0.687,98.469,1.221,14,1.221,14,0.07650000000000001,0.07650000000000001,14
2,2025,2025041,57.0,242,Mercedes,97.956,99.546,-0.834,0.756,-0.834,0.756,98.79,1.5899999999999999,14,1.5899999999999999,14,-0.03899999999999998,-0.03899999999999998,14
